node_name,MCC,DMNC,MNC,Degree,EPC,BottleNeck,EcCentricity,Closeness,Radiality,Betweenness,Stress,ClusteringCoefficient
RGS1,3.0,0.61557,2.0,6.0,3.475,3.0,0.07112,37.43312,5.91918,920.0,1995888.0,0.13333,
PAG1,3.0,0.61557,2.0,6.0,8.677,9.0,0.08535,50.77579,7.55624,3584.0,5488208.0,0.13333,
HLA-DOA,2.0,0.61557,2.0,4.0,4.609,1.0,0.07112,36.59978,5.90814,0.0,0.0,0.33333,
PLAUR,3.0,0.61557,2.0,6.0,5.787,1.0,0.08535,44.36746,6.8352,478.60043,189648.0,0.13333,
LAMA4,120.0,1.29653,5.0,10.0,9.847,1.0,0.07759,42.71158,6.58136,0.0,0.0,0.44444,
LAMA2,120.0,1.29653,5.0,10.0,9.671,1.0,0.07759,42.71158,6.58136,0.0,0.0,0.44444,
LAMA3,120.0,1.29653,5.0,10.0,10.288,1.0,0.07759,42.71158,6.58136,0.0,0.0,0.44444,
HERC5,6.0,0.92693,3.0,6.0,36.431,1.0,0.09483,49.37897,7.45323,0.0,0.0,0.4,
HEPH,1.0,0.0,1.0,2.0,14.54,1.0,0.09483,51.98532,7.85054,0.0,0.0,0.0,
HIST1H3E,1.0,0.0,1.0,2.0,13.718,1.0,0.08535,47.95516,7.22515,0.0,0.0,0.0,
MND1,1.0,0.0,1.0,2.0,12.72,1.0,0.08535,47.95516,7.22515,0.0,0.0,0.0,
PPP1R3C,1.0,0.0,1.0,2.0,1.265,1.0,0.00733,1.0,0.02198,0.0,0.0,0.0,
GYS2,1.0,0.0,1.0,2.0,1.265,1.0,0.00733,1.0,0.02198,0.0,0.0,0.0,
LGSN,1.0,0.0,1.0,2.0,8.362,1.0,0.08535,43.39841,6.8867,0.0,0.0,0.0,
GPHN,1.0,0.0,1.0,2.0,1.32,1.0,0.00733,1.0,0.02198,0.0,0.0,0.0,
GLRB,1.0,0.0,1.0,2.0,1.32,1.0,0.00733,1.0,0.02198,0.0,0.0,0.0,
NCAM1,1.0,0.0,1.0,2.0,2.156,1.0,0.06565,33.27502,5.45565,0.0,0.0,0.0,
GGT5,1.0,0.0,1.0,2.0,7.844,1.0,0.08535,43.34841,6.89406,0.0,0.0,0.0,
FYB,1.0,0.0,1.0,2.0,2.627,1.0,0.07112,36.09978,5.90446,0.0,0.0,0.0,
FSTL1,1.0,0.0,1.0,2.0,9.112,1.0,0.09483,46.94722,7.39805,0.0,0.0,0.0,
IGFBP1,1.0,0.0,1.0,2.0,20.555,1.0,0.09483,57.42817,8.12645,0.0,0.0,0.0,
TGFA,2.0,0.0,1.0,4.0,22.784,10.0,0.09483,62.05437,8.34718,4014.0,5612760.0,0.0,
FXYD2,6.0,0.92693,3.0,6.0,45.252,1.0,0.10668,68.23333,8.69667,0.0,0.0,0.4,
JDP2,2.0,0.61557,2.0,4.0,37.67,1.0,0.10668,67.56667,8.68931,0.0,0.0,0.33333,
HMOX1,7.0,0.92693,3.0,8.0,44.196,2.0,0.10668,68.73333,8.70034,462.0,65640.0,0.21429,
HKDC1,2.0,0.61557,2.0,4.0,1.959,1.0,0.00733,2.5,0.03907,0.0,0.0,0.33333,
FAT1,1.0,0.0,1.0,2.0,23.195,1.0,0.10668,62.86905,8.49065,0.0,0.0,0.0,
SCD,1.0,0.0,1.0,2.0,6.844,1.0,0.08535,40.23135,6.56664,0.0,0.0,0.0,
FAM83D,1.0,0.0,1.0,2.0,24.595,1.0,0.08535,49.53849,7.26562,0.0,0.0,0.0,
FABP4,1.0,0.0,1.0,2.0,15.536,1.0,0.10668,55.87381,8.08231,0.0,0.0,0.0,
SERPINE2,3.0,0.61557,2.0,6.0,4.939,2.0,0.08535,43.64603,6.86095,288.45905,158800.0,0.13333,
F5,2.0,0.0,1.0,4.0,6.315,3.0,0.09483,47.62421,7.42748,518.22348,321112.0,0.0,
ENPP2,1.0,0.0,1.0,2.0,14.037,1.0,0.09483,52.76865,7.90573,0.0,0.0,0.0,
NTRK2,2.0,0.0,1.0,4.0,8.155,2.0,0.09483,46.28333,7.29505,462.0,270280.0,0.0,
EHD4,1.0,0.0,1.0,2.0,2.773,1.0,0.08535,38.24087,6.44524,0.0,0.0,0.0,
EGR3,1.0,0.0,1.0,2.0,9.952,1.0,0.08535,47.62817,7.4422,0.0,0.0,0.0,
EGR2,3.0,0.61557,2.0,6.0,34.982,2.0,0.09483,61.35437,8.292,462.0,169088.0,0.13333,
FOSB,26.0,0.90757,5.0,10.0,56.242,3.0,0.10668,71.0,8.7592,233.74141,64440.0,0.31111,
F3,2.0,0.0,1.0,4.0,20.031,4.0,0.10668,56.94048,8.12277,889.55682,414600.0,0.0,
IFIT3,5046.0,1.34123,8.0,16.0,53.789,1.0,0.10668,63.12857,8.28464,150.66667,67496.0,0.38333,
ISG15,5047.0,1.34123,8.0,18.0,53.732,5.0,0.10668,63.9619,8.29568,1524.66667,405096.0,0.30065,
OAS1,5040.0,1.53668,7.0,14.0,52.127,1.0,0.10668,62.62857,8.28096,0.0,0.0,0.46154,
IFI6,5040.0,1.53668,7.0,14.0,52.709,1.0,0.10668,62.62857,8.28096,0.0,0.0,0.46154,
OAS2,5040.0,1.53668,7.0,14.0,51.801,1.0,0.10668,62.62857,8.28096,0.0,0.0,0.46154,
RSAD2,5046.0,1.34123,8.0,16.0,53.079,1.0,0.10668,63.12857,8.28464,150.66667,67496.0,0.38333,
EGR1,5065.0,1.53668,7.0,24.0,62.028,16.0,0.10668,75.93095,8.85117,4394.90952,1018008.0,0.19565,
GPC3,2.0,0.0,1.0,4.0,3.821,3.0,0.08535,39.94722,6.55193,920.0,1418568.0,0.0,
DCLRE1C,1.0,0.0,1.0,2.0,14.091,1.0,0.08535,47.95516,7.22515,0.0,0.0,0.0,
EPHX2,3.0,0.61557,2.0,6.0,31.883,2.0,0.10668,62.99286,8.38397,324.64251,254656.0,0.13333,
RAC2,1.0,0.0,1.0,2.0,1.312,1.0,0.00733,1.0,0.02198,0.0,0.0,0.0,
CYBA,1.0,0.0,1.0,2.0,1.312,1.0,0.00733,1.0,0.02198,0.0,0.0,0.0,
S1PR3,1.0,0.0,1.0,2.0,9.167,1.0,0.09483,46.47183,7.33551,0.0,0.0,0.0,
LPAR1,5.0,0.61795,3.0,8.0,44.15,2.0,0.10668,70.1,8.75553,687.51886,275568.0,0.14286,
CXCL8,9.0,0.51861,5.0,12.0,44.232,15.0,0.10668,69.70238,8.64884,2343.24876,1453256.0,0.12121,
CXCL2,3.0,0.61557,2.0,6.0,24.378,1.0,0.10668,54.81905,7.89837,19.4,1104.0,0.13333,
CXCL10,4.0,0.61795,3.0,6.0,26.729,1.0,0.10668,54.35238,7.88365,1.66667,56.0,0.26667,
HLA-DRB1,8.0,0.56839,4.0,12.0,5.966,6.0,0.07759,44.60007,6.75426,2281.0,3991680.0,0.09091,
HLA-DPB1,6.0,0.56839,4.0,8.0,6.479,2.0,0.07759,43.26674,6.73955,451.0,997880.0,0.21429,
CTSC,2.0,0.61557,2.0,4.0,4.303,1.0,0.07112,36.59978,5.90814,0.0,0.0,0.33333,
TXNRD1,1.0,0.0,1.0,2.0,6.976,1.0,0.08535,42.79127,6.86831,0.0,0.0,0.0,
GLS,4.0,0.61795,3.0,6.0,15.231,1.0,0.08535,45.23175,6.92717,11.0,3192.0,0.26667,
GLS2,6.0,0.56839,4.0,8.0,17.348,1.0,0.08535,45.98175,6.9382,25.66667,6536.0,0.21429,
PCOLCE2,1.0,0.0,1.0,2.0,1.366,1.0,0.00549,1.5,0.03297,0.0,0.0,0.0,
PCOLCE,1.0,0.0,1.0,2.0,1.372,1.0,0.00549,1.5,0.03297,0.0,0.0,0.0,
COL1A1,2.0,0.0,1.0,4.0,1.568,3.0,0.01099,2.0,0.03846,2.0,8.0,0.0,
GOLM1,1.0,0.0,1.0,2.0,1.291,1.0,0.00733,1.0,0.02198,0.0,0.0,0.0,
CLU,1.0,0.0,1.0,2.0,1.291,1.0,0.00733,1.0,0.02198,0.0,0.0,0.0,
DKK1,2.0,0.0,1.0,4.0,2.351,2.0,0.07759,34.4184,5.70949,462.0,945720.0,0.0,
CKAP4,1.0,0.0,1.0,2.0,1.596,1.0,0.07112,29.71219,4.85968,0.0,0.0,0.0,
ME1,31.0,1.03722,5.0,12.0,51.78,2.0,0.12193,74.20714,8.88796,604.70561,109112.0,0.24242,
CITED2,26.0,0.90757,5.0,10.0,53.605,5.0,0.12193,72.30714,8.85485,840.5354,1132648.0,0.31111,
CXCL12,3.0,0.61557,2.0,6.0,22.923,2.0,0.09483,55.77659,7.85054,690.25388,200896.0,0.13333,
CFTR,2.0,0.61557,2.0,4.0,18.686,1.0,0.08535,50.83016,7.44588,0.0,0.0,0.33333,
CENPU,2.0,0.61557,2.0,4.0,39.248,1.0,0.08535,55.47937,7.5636,0.0,0.0,0.33333,
EBF1,1.0,0.0,1.0,2.0,20.276,1.0,0.09483,55.43294,8.07127,0.0,0.0,0.0,
PLD1,2.0,0.0,1.0,4.0,1.593,3.0,0.01099,2.0,0.03846,2.0,8.0,0.0,
CDS1,1.0,0.0,1.0,2.0,1.389,1.0,0.00549,1.5,0.03297,0.0,0.0,0.0,
CDO1,2.0,0.0,1.0,4.0,11.602,1.0,0.08535,45.03175,6.9382,56.66667,10088.0,0.0,
CEBPA,9.0,0.51861,5.0,12.0,60.825,2.0,0.10668,75.29762,8.92107,1153.96261,340472.0,0.12121,
MCL1,2.0,0.61557,2.0,4.0,26.159,1.0,0.10668,59.77381,8.24417,0.0,0.0,0.33333,
SOCS3,3.0,0.61557,2.0,6.0,25.632,2.0,0.10668,60.60714,8.25889,312.71229,102448.0,0.13333,
CDKN2B,1.0,0.0,1.0,2.0,21.032,1.0,0.10668,58.92381,8.22578,0.0,0.0,0.0,
SNAI2,2.0,0.0,1.0,4.0,10.491,13.0,0.08535,47.61667,7.11846,2082.93645,4138824.0,0.0,
GFRA1,2.0,0.0,1.0,4.0,3.789,2.0,0.07112,39.6803,6.30545,462.0,1322760.0,0.0,
LAMC2,126.0,1.14118,6.0,12.0,10.736,4.0,0.07759,45.71396,6.84255,137.29655,260856.0,0.36364,
LAMB1,126.0,1.14118,6.0,12.0,10.587,1.0,0.07759,45.71396,6.84255,137.29655,260856.0,0.36364,
HGF,128.0,1.14118,6.0,16.0,12.473,14.0,0.08535,52.03492,7.41645,3779.37702,3240288.0,0.2,
CDCA2,1.0,0.0,1.0,2.0,22.957,1.0,0.08535,54.39603,7.5452,0.0,0.0,0.0,
RFC5,5.0,0.61795,3.0,8.0,46.771,1.0,0.08535,56.63056,7.68132,84.02913,13952.0,0.14286,
KITLG,3.0,0.0,1.0,6.0,24.255,17.0,0.08535,54.61706,7.60774,3576.781,6793016.0,0.0,
PPARGC1A,34.0,0.65858,7.0,22.0,58.611,11.0,0.12193,77.04048,8.93211,4586.01569,1993664.0,0.07792,
CD36,2.0,0.0,1.0,4.0,17.573,2.0,0.10668,56.54048,8.08966,462.0,146568.0,0.0,
CD163,1.0,0.0,1.0,2.0,7.288,1.0,0.09483,44.88929,7.23986,0.0,0.0,0.0,
LY96,6.0,0.56839,4.0,8.0,31.238,18.0,0.10668,65.51667,8.5348,2153.14085,1628120.0,0.21429,
TLR2,5.0,0.61557,2.0,10.0,28.194,2.0,0.10668,60.64167,8.24785,1272.36218,536632.0,0.04444,
LBP,3.0,0.61557,2.0,6.0,19.956,15.0,0.09483,54.33532,7.85422,3398.69471,2860016.0,0.13333,
CD14,6.0,0.56839,4.0,8.0,31.505,1.0,0.10668,65.51667,8.5348,2153.14085,1628120.0,0.21429,
H2AFX,5.0,0.61557,2.0,10.0,42.236,4.0,0.09483,63.60913,8.07495,1380.0,409752.0,0.04444,
MASTL,2.0,0.61557,2.0,4.0,42.871,1.0,0.09483,61.60913,8.05288,0.0,0.0,0.33333,
NUP43,720.0,1.42647,6.0,12.0,70.288,1.0,0.09483,64.27579,8.08231,0.0,0.0,0.45455,
PRKAR2B,5.0,0.61557,2.0,10.0,45.176,4.0,0.09483,65.03056,8.1706,1423.83183,364224.0,0.08889,
CDKN1A,31.0,0.90757,5.0,20.0,69.96,59.0,0.12193,82.79048,9.07558,10234.37301,8530192.0,0.09474,
SHCBP1,24.0,1.13679,4.0,8.0,60.948,1.0,0.09483,63.0996,8.08599,0.0,0.0,0.42857,
MCM10,6.0,0.92693,3.0,6.0,52.675,1.0,0.09483,64.54246,8.19267,0.0,0.0,0.4,
SAMHD1,5041.0,1.53668,7.0,16.0,56.188,11.0,0.10668,71.35,8.57159,1665.19112,267192.0,0.35,
CDC6,5048.0,1.34123,8.0,20.0,74.736,17.0,0.09483,69.68294,8.29936,3945.66496,7170848.0,0.24211,
CCL19,1.0,0.0,1.0,2.0,13.568,1.0,0.10668,52.55238,7.84319,0.0,0.0,0.0,
CBR4,1.0,0.0,1.0,2.0,6.876,1.0,0.08535,40.23135,6.56664,0.0,0.0,0.0,
IL1B,11.0,0.51861,5.0,16.0,42.816,6.0,0.12193,70.79286,8.69299,3137.13595,1515104.0,0.06667,
CASP4,1.0,0.0,1.0,2.0,14.185,1.0,0.10668,52.55238,7.84319,0.0,0.0,0.0,
ZWINT,194.0,1.04966,8.0,16.0,72.982,4.0,0.09483,65.27579,8.08966,77.3898,144544.0,0.3,
DSN1,120.0,1.29653,5.0,10.0,63.725,1.0,0.08535,56.97937,7.57463,0.0,0.0,0.44444,
SPC25,168.0,1.1708,7.0,14.0,71.322,1.0,0.09483,65.10913,8.09334,35.88367,96648.0,0.35165,
PRKAB2,4.0,0.0,1.0,8.0,19.425,4.0,0.10668,58.20714,8.11542,1136.81905,371040.0,0.0,
CAB39L,1.0,0.0,1.0,2.0,6.595,1.0,0.09483,45.57262,7.26562,0.0,0.0,0.0,
SLC4A4,1.0,0.0,1.0,2.0,2.11,1.0,0.06565,33.27502,5.45565,0.0,0.0,0.0,
CA2,2.0,0.0,1.0,4.0,4.154,2.0,0.07112,39.6803,6.30545,462.0,1322760.0,0.0,
C6,1.0,0.0,1.0,2.0,1.304,1.0,0.00733,1.0,0.02198,0.0,0.0,0.0,
C5,1.0,0.0,1.0,2.0,1.304,1.0,0.00733,1.0,0.02198,0.0,0.0,0.0,
TYROBP,1.0,0.0,1.0,2.0,1.282,1.0,0.00733,1.0,0.02198,0.0,0.0,0.0,
C1QB,1.0,0.0,1.0,2.0,1.282,1.0,0.00733,1.0,0.02198,0.0,0.0,0.0,
NUP62,1441.0,1.4635,7.0,16.0,72.274,2.0,0.09483,68.41151,8.26625,475.70877,314720.0,0.33333,
KLHL13,1.0,0.0,1.0,2.0,24.319,1.0,0.09483,60.39603,8.06023,0.0,0.0,0.0,
RORA,24.0,1.13679,4.0,8.0,58.796,1.0,0.10668,70.80714,8.62309,0.0,0.0,0.42857,
NUP155,1440.0,1.4635,7.0,14.0,72.309,1.0,0.09483,67.91151,8.26257,13.70877,6136.0,0.43956,
TAT,1.0,0.0,1.0,2.0,2.7,1.0,0.07759,36.37872,6.03322,0.0,0.0,0.0,
DMGDH,1.0,0.0,1.0,2.0,3.032,1.0,0.07759,36.37872,6.03322,0.0,0.0,0.0,
BHMT,3.0,0.0,1.0,6.0,6.903,3.0,0.08535,44.1246,6.88302,922.0,906104.0,0.0,
PPM1K,2.0,0.61557,2.0,4.0,12.271,1.0,0.08535,43.14127,6.85727,0.0,0.0,0.33333,
SDSL,2.0,0.61557,2.0,4.0,11.486,1.0,0.08535,43.14127,6.85727,0.0,0.0,0.33333,
PTP4A1,3.0,0.61557,2.0,6.0,37.902,2.0,0.10668,66.69524,8.46122,462.0,72736.0,0.13333,
ATF5,1.0,0.0,1.0,2.0,11.541,1.0,0.09483,50.48611,7.61142,0.0,0.0,0.0,
FOS,73.0,0.46068,15.0,32.0,73.553,42.0,0.10668,86.16429,9.13076,7854.47134,7670168.0,0.09274,
JUNB,54.0,0.8164,8.0,16.0,68.859,1.0,0.10668,80.89762,9.05351,1378.19873,1505184.0,0.23333,
BTG2,2.0,0.61557,2.0,4.0,33.15,1.0,0.09483,60.6877,8.28464,0.0,0.0,0.33333,
ATF3,8.0,0.75786,4.0,8.0,51.259,1.0,0.10668,68.56667,8.69667,100.53737,20736.0,0.28571,
CPS1,5.0,0.61795,3.0,8.0,13.327,3.0,0.08535,45.31508,6.90877,920.66667,1356800.0,0.14286,
TTK,9.223372036854777E13,1.92,29.0,58.0,80.194,5.0,0.09483,80.82817,8.40972,174.12731,690576.0,0.35572,
NUSAP1,9.223372036854777E13,1.95918,29.0,58.0,80.14,3.0,0.09483,80.99484,8.4134,115.82373,345088.0,0.36298,
CDCA3,2.22366912768E13,2.14496,18.0,36.0,80.014,1.0,0.09483,74.99484,8.3619,2.34038,312.0,0.46349,
CKS2,3.99168E7,1.86649,11.0,22.0,78.167,1.0,0.09483,70.99484,8.32511,0.0,0.0,0.47619,
DEPDC1,362880.0,1.71838,9.0,18.0,77.093,1.0,0.08535,61.5127,7.70339,0.0,0.0,0.47059,
PTTG1,9.223372036854777E13,2.10963,25.0,50.0,80.194,2.0,0.09483,78.66151,8.39133,41.65428,28216.0,0.4098,
RRM2,9.223372036854777E13,2.15919,21.0,42.0,80.029,1.0,0.09483,77.65437,8.44651,182.71076,634216.0,0.44367,
SMC4,9.580032E8,1.96706,13.0,26.0,79.764,1.0,0.09483,69.38294,8.17796,0.1,8.0,0.47385,
CASC5,264.0,1.16629,8.0,16.0,73.287,1.0,0.08535,59.72937,7.6151,4.87441,304.0,0.33333,
CDKN3,3.99168E7,1.86649,11.0,22.0,78.251,1.0,0.09483,68.21627,8.16692,0.0,0.0,0.47619,
BIRC5,9.223372036854777E13,2.01314,27.0,64.0,80.194,49.0,0.10668,90.49524,8.91004,8482.6936,9578248.0,0.27679,
KIAA0101,1.313901388802E12,2.09996,16.0,36.0,80.054,3.0,0.09483,75.16151,8.36557,709.1707,615016.0,0.3746,
MELK,9.223372036854777E13,2.22751,23.0,46.0,80.194,1.0,0.09483,77.82817,8.38765,13.08329,5720.0,0.44444,
CCNB2,9.223372036854777E13,1.707,32.0,64.0,80.194,1.0,0.10668,87.7,8.8291,1679.19213,2630104.0,0.30655,
CCNA2,9.223372036854777E13,1.66281,32.0,66.0,80.194,27.0,0.10668,89.8,8.88428,3910.29524,2863880.0,0.28065,
NUF2,9.223372036854777E13,1.76574,24.0,48.0,80.122,2.0,0.09483,77.99484,8.38397,338.70017,645648.0,0.34752,
CENPE,9.223372036854777E13,1.86918,23.0,46.0,80.194,1.0,0.09483,77.32817,8.37661,170.52561,681344.0,0.37295,
NDC80,9.223372036854777E13,1.74367,29.0,58.0,80.194,2.0,0.09483,80.82817,8.40972,815.45331,1128856.0,0.32305,
CCNB1,9.223372036854777E13,1.4601,34.0,68.0,80.194,1.0,0.10668,89.88333,8.86957,3457.28769,2982816.0,0.25724,
NCAPG,9.223372036854777E13,1.89938,28.0,56.0,80.194,1.0,0.09483,81.15437,8.47226,371.12625,736080.0,0.35584,
ASPH,1.0,0.0,1.0,2.0,21.843,1.0,0.10668,62.86905,8.49065,0.0,0.0,0.0,
KDELR3,1.0,0.0,1.0,2.0,1.321,1.0,0.00733,1.0,0.02198,0.0,0.0,0.0,
ASAP2,1.0,0.0,1.0,2.0,1.321,1.0,0.00733,1.0,0.02198,0.0,0.0,0.0,
JUN,59.0,0.43429,13.0,42.0,73.617,196.0,0.12193,91.53571,9.34045,21168.80433,1.402328E7,0.04646,
AR,2.0,0.0,1.0,4.0,37.299,1.0,0.10668,68.13571,8.70034,35.84696,12504.0,0.0,
LDLR,2.0,0.0,1.0,4.0,7.898,3.0,0.09483,48.94008,7.51209,644.9695,314600.0,0.0,
SORT1,3.0,0.61557,2.0,6.0,20.412,3.0,0.10668,57.99524,8.13749,920.0,405408.0,0.13333,
APOF,1.0,0.0,1.0,2.0,6.251,1.0,0.09483,46.5254,7.36494,0.0,0.0,0.0,
LRP12,2.0,0.0,1.0,4.0,7.911,4.0,0.09483,47.5754,7.38702,1374.0,1654968.0,0.0,
APOB,5.0,0.61557,2.0,10.0,20.812,9.0,0.10668,59.89286,8.21474,3124.9695,2259736.0,0.04444,
NNMT,2.0,0.0,1.0,4.0,14.849,3.0,0.09483,53.35873,7.72179,920.0,678744.0,0.0,
RDH16,3.0,0.61557,2.0,6.0,25.417,2.0,0.09483,53.60873,7.71811,462.0,229200.0,0.13333,
CYP3A5,8.0,0.75786,4.0,8.0,34.653,2.0,0.09483,55.56587,7.79168,38.23475,19808.0,0.28571,
KIF20A,9.223372036854777E13,1.90694,29.0,58.0,80.194,3.0,0.09483,80.99484,8.4134,161.58746,353808.0,0.3533,
ASPM,9.223372036854777E13,1.79539,32.0,64.0,80.194,1.0,0.09483,82.49484,8.42443,244.35235,726520.0,0.32242,
CDK1,9.223372036854777E13,1.26147,41.0,82.0,80.194,40.0,0.10668,93.55,8.899,5543.78186,3607488.0,0.20958,
TOP2A,9.223372036854777E13,1.58439,35.0,72.0,80.194,2.0,0.09483,84.66151,8.44283,756.7662,687504.0,0.26135,
CENPF,9.223372036854777E13,2.02859,26.0,52.0,80.144,1.0,0.09483,79.16151,8.395,106.95578,346296.0,0.38914,
KIF14,5760.0,1.51618,8.0,16.0,74.365,1.0,0.09483,65.10913,8.08599,0.34848,16.0,0.43333,
KIF4A,9.223372036854777E13,2.21436,22.0,44.0,80.118,1.0,0.09483,76.99484,8.37661,15.43356,7608.0,0.4482,
TPX2,9.223372036854777E13,2.17687,25.0,50.0,80.194,1.0,0.09483,78.66151,8.39133,43.74864,30296.0,0.42286,
PBK,9.223372036854777E13,2.10963,25.0,52.0,80.108,2.0,0.09483,79.16151,8.395,515.11889,406480.0,0.37858,
HMMR,4.0279681E7,1.84401,12.0,26.0,78.712,2.0,0.09483,68.10913,8.11542,462.5303,227736.0,0.38769,
KIF11,9.223372036854777E13,2.00336,28.0,56.0,80.194,1.0,0.09483,81.15437,8.47226,349.64335,1010392.0,0.37532,
DLGAP5,9.223372036854777E13,1.95265,29.0,58.0,80.194,1.0,0.09483,80.99484,8.4134,129.17236,352472.0,0.36177,
ANLN,3992400.0,1.69766,12.0,24.0,78.888,1.0,0.09483,67.60913,8.11174,2.9881,144.0,0.42029,
NRCAM,1.0,0.0,1.0,2.0,1.296,1.0,0.00733,1.0,0.02198,0.0,0.0,0.0,
ANK2,1.0,0.0,1.0,2.0,1.296,1.0,0.00733,1.0,0.02198,0.0,0.0,0.0,
LPL,33.0,1.03722,5.0,16.0,55.04,14.0,0.12193,76.30714,8.93579,5111.96083,2804856.0,0.15,
ANGPTL3,1.0,0.0,1.0,2.0,17.162,1.0,0.10668,55.72857,8.08599,0.0,0.0,0.0,
GPX3,1.0,0.0,1.0,2.0,10.461,1.0,0.08535,42.01587,6.70276,0.0,0.0,0.0,
GPX2,1.0,0.0,1.0,2.0,8.527,1.0,0.08535,42.01587,6.70276,0.0,0.0,0.0,
CYP2C19,9.0,0.75786,4.0,10.0,33.453,1.0,0.09483,53.13016,7.55256,85.19658,4064.0,0.17778,
PTGS2,11.0,0.75786,4.0,14.0,36.189,8.0,0.10668,61.37976,8.14485,2591.03513,2246128.0,0.10989,
PLA2G4A,2.0,0.61557,2.0,4.0,16.128,1.0,0.09483,47.88849,7.30976,0.0,0.0,0.33333,
CYP2B6,15.0,0.66569,6.0,14.0,40.011,1.0,0.09483,59.32302,7.88733,1116.2162,357520.0,0.15385,
COTL1,1.0,0.0,1.0,2.0,9.408,1.0,0.08535,42.01587,6.70276,0.0,0.0,0.0,
ALOX5,11.0,0.75786,4.0,14.0,27.803,4.0,0.09483,53.79683,7.55256,1434.00714,1431384.0,0.08791,
FBP1,4.0,0.61795,3.0,6.0,2.152,1.0,0.01465,3.0,0.04396,1.0,8.0,0.26667,
PFKP,4.0,0.61795,3.0,6.0,2.161,1.0,0.01465,3.0,0.04396,1.0,8.0,0.26667,
ALDOB,2.0,0.61557,2.0,4.0,1.934,1.0,0.00733,2.5,0.03907,0.0,0.0,0.33333,
MTHFD1,1.0,0.0,1.0,2.0,1.272,1.0,0.00733,1.0,0.02198,0.0,0.0,0.0,
