node_name,MCC,DMNC,MNC,Degree,EPC,BottleNeck,EcCentricity,Closeness,Radiality,Betweenness,Stress,ClusteringCoefficient
HNMT,2.0,0.0,1.0,4.0,71.941,3.0,0.07948,49.72619,9.45635,1004.50195,6592248.0,0.0,
MCCC2,1.0,0.0,1.0,2.0,1.918,1.0,0.00434,1.5,0.02601,0.0,0.0,0.0,
RGS1,3.0,0.61557,2.0,6.0,107.827,3.0,0.05677,52.27548,9.57528,1088.0,3324720.0,0.13333,
WHSC1,2.0,0.0,1.0,4.0,108.129,1.0,0.07225,57.6596,10.11772,72.27143,181128.0,0.0,
HEPH,2.0,0.61557,2.0,4.0,155.755,1.0,0.07948,62.80476,10.48321,0.0,0.0,0.33333,
HIST1H4H,3.0,0.0,1.0,6.0,132.018,8.0,0.07948,70.3123,10.78488,3161.4731,7683160.0,0.0,
MTA2,1.0,0.0,1.0,2.0,114.817,1.0,0.06623,67.06869,10.64855,0.0,0.0,0.0,
RGMB,2.0,0.0,1.0,4.0,2.22,3.0,0.00867,2.0,0.03035,2.0,8.0,0.0,
GREM1,1.0,0.0,1.0,2.0,1.983,1.0,0.00434,1.5,0.02601,0.0,0.0,0.0,
MOCS1,1.0,0.0,1.0,2.0,1.916,1.0,0.00434,1.5,0.02601,0.0,0.0,0.0,
MAN2A1,2.0,0.61557,2.0,4.0,2.842,1.0,0.00578,2.5,0.03083,0.0,0.0,0.33333,
GOLIM4,2.0,0.61557,2.0,4.0,2.843,1.0,0.00578,2.5,0.03083,0.0,0.0,0.33333,
GNB5,1.0,0.0,1.0,2.0,103.285,1.0,0.05299,49.77491,9.45635,0.0,0.0,0.0,
GPHN,2.0,0.0,1.0,4.0,2.149,3.0,0.00867,2.0,0.03035,2.0,8.0,0.0,
GLRB,1.0,0.0,1.0,2.0,1.901,1.0,0.00434,1.5,0.02601,0.0,0.0,0.0,
NCAM1,1.0,0.0,1.0,2.0,99.677,1.0,0.06623,59.10797,10.30336,0.0,0.0,0.0,
PDLIM7,1.0,0.0,1.0,2.0,94.77,1.0,0.06623,59.10797,10.30336,0.0,0.0,0.0,
LAT2,1.0,0.0,1.0,2.0,25.06,1.0,0.05677,33.68246,7.01685,0.0,0.0,0.0,
GLS,1.0,0.0,1.0,2.0,24.468,1.0,0.05677,33.68246,7.01685,0.0,0.0,0.0,
FYB,1.0,0.0,1.0,2.0,103.356,1.0,0.05677,50.94215,9.56368,0.0,0.0,0.0,
FSTL1,1.0,0.0,1.0,2.0,104.067,1.0,0.06114,58.1186,10.20184,0.0,0.0,0.0,
IGFBP1,1.0,0.0,1.0,2.0,112.548,1.0,0.06623,65.79131,10.56733,0.0,0.0,0.0,
HOXA11,1.0,0.0,1.0,2.0,112.932,1.0,0.06623,65.79131,10.56733,0.0,0.0,0.0,
POSTN,1.0,0.0,1.0,2.0,108.125,1.0,0.05299,53.16023,9.70581,0.0,0.0,0.0,
PLAUR,3.0,0.61557,2.0,6.0,103.246,4.0,0.05299,54.74356,9.72322,1626.0,1.4958752E7,0.13333,
IGFBP5,2.0,0.61557,2.0,4.0,142.928,1.0,0.05677,59.75048,10.20764,0.0,0.0,0.33333,
ST14,1.0,0.0,1.0,2.0,1.564,1.0,0.00578,1.0,0.01734,0.0,0.0,0.0,
FLG,1.0,0.0,1.0,2.0,1.564,1.0,0.00578,1.0,0.01734,0.0,0.0,0.0,
FKBP5,1.0,0.0,1.0,2.0,102.156,1.0,0.05677,51.88619,9.67971,0.0,0.0,0.0,
LBP,3.0,0.61557,2.0,6.0,149.332,1.0,0.05677,59.32746,10.12642,284.84571,30384.0,0.13333,
FGF2,3.0,0.61557,2.0,6.0,153.089,1.0,0.05677,60.52191,10.14672,599.732,135824.0,0.13333,
MFAP2,2.0,0.0,1.0,4.0,2.174,3.0,0.00867,2.0,0.03035,2.0,8.0,0.0,
FBN2,1.0,0.0,1.0,2.0,1.926,1.0,0.00434,1.5,0.02601,0.0,0.0,0.0,
EYA1,1.0,0.0,1.0,2.0,108.678,1.0,0.06623,67.06869,10.64855,0.0,0.0,0.0,
PPP1R3C,1.0,0.0,1.0,2.0,1.567,1.0,0.00578,1.0,0.01734,0.0,0.0,0.0,
EPM2A,1.0,0.0,1.0,2.0,1.567,1.0,0.00578,1.0,0.01734,0.0,0.0,0.0,
EPB41L3,1.0,0.0,1.0,2.0,41.098,1.0,0.05299,39.12022,8.32797,0.0,0.0,0.0,
ENPP2,1.0,0.0,1.0,2.0,103.884,1.0,0.06623,58.67464,10.24825,0.0,0.0,0.0,
EHD4,1.0,0.0,1.0,2.0,62.589,1.0,0.05677,43.82191,8.94873,0.0,0.0,0.0,
EGR3,1.0,0.0,1.0,2.0,68.837,1.0,0.06623,55.1544,9.99879,0.0,0.0,0.0,
EGR2,2.0,0.0,1.0,4.0,114.614,2.0,0.07225,70.61515,10.79068,546.0,271576.0,0.0,
IRF7,40326.0,1.43199,9.0,18.0,191.169,14.0,0.07225,79.77785,11.04015,543.89752,2422576.0,0.39216,
OAS1,40320.0,1.63281,8.0,16.0,190.575,1.0,0.06623,71.67662,10.67175,0.0,0.0,0.46667,
OAS2,40320.0,1.63281,8.0,16.0,191.355,1.0,0.06623,71.67662,10.67175,0.0,0.0,0.46667,
IFITM1,40320.0,1.63281,8.0,16.0,191.355,1.0,0.06623,71.67662,10.67175,0.0,0.0,0.46667,
IRF6,40326.0,1.43199,9.0,18.0,191.355,1.0,0.07225,79.77785,11.04015,543.89752,2422576.0,0.39216,
XAF1,40320.0,1.63281,8.0,16.0,191.355,1.0,0.06623,71.67662,10.67175,0.0,0.0,0.46667,
HLA-C,40324.0,1.63281,8.0,22.0,191.198,12.0,0.06623,75.11869,10.77908,3708.62173,1.1180824E7,0.25974,
EDN3,1.0,0.0,1.0,2.0,63.778,1.0,0.05299,44.43566,8.95453,0.0,0.0,0.0,
NCOR2,6.0,0.61557,2.0,12.0,185.263,5.0,0.07225,80.26118,11.11847,1302.77651,851344.0,0.0303,
MEF2C,8.0,0.56839,4.0,12.0,189.605,8.0,0.07225,83.7088,11.20839,1634.45533,2478544.0,0.09091,
WDR19,2.0,0.0,1.0,4.0,2.183,3.0,0.00867,2.0,0.03035,2.0,8.0,0.0,
DYNC2LI1,1.0,0.0,1.0,2.0,1.93,1.0,0.00434,1.5,0.02601,0.0,0.0,0.0,
DUSP9,1.0,0.0,1.0,2.0,113.977,1.0,0.07225,68.26356,10.75878,0.0,0.0,0.0,
DUSP7,1.0,0.0,1.0,2.0,110.713,1.0,0.07225,68.26356,10.75878,0.0,0.0,0.0,
WDR5,4.0,0.0,1.0,8.0,92.892,6.0,0.08831,58.30119,10.12642,2469.00195,7494304.0,0.0,
DR1,1.0,0.0,1.0,2.0,54.59,1.0,0.07948,47.16587,9.33452,0.0,0.0,0.0,
STIP1,8.0,0.92693,3.0,10.0,176.004,3.0,0.06114,66.14678,10.4716,1090.0,1703032.0,0.13333,
DNAJB5,1.0,0.0,1.0,2.0,108.021,1.0,0.05677,51.88619,9.67971,0.0,0.0,0.0,
DNAJB2,1.0,0.0,1.0,2.0,111.875,1.0,0.05677,59.52627,10.15253,0.0,0.0,0.0,
DTNA,1.0,0.0,1.0,2.0,61.903,1.0,0.05299,42.51543,8.69346,0.0,0.0,0.0,
MAMLD1,2.0,0.0,1.0,4.0,112.021,3.0,0.06114,67.52932,10.4513,1088.0,2151048.0,0.0,
NMD3,2.0,0.61557,2.0,4.0,83.78,1.0,0.05677,56.88223,9.90886,0.0,0.0,0.33333,
GNL3L,2.0,0.61557,2.0,4.0,83.517,1.0,0.05677,56.88223,9.90886,0.0,0.0,0.33333,
NOL6,2.0,0.0,1.0,4.0,67.217,2.0,0.05677,57.04889,9.91177,546.0,1834680.0,0.0,
LSS,2.0,0.61557,2.0,4.0,2.483,1.0,0.00867,2.0,0.01734,0.0,0.0,0.33333,
SQLE,2.0,0.61557,2.0,4.0,2.476,1.0,0.00867,2.0,0.01734,0.0,0.0,0.33333,
DHCR24,2.0,0.61557,2.0,4.0,2.477,1.0,0.00867,2.0,0.01734,0.0,0.0,0.33333,
STS,1.0,0.0,1.0,2.0,49.718,1.0,0.06623,40.30339,8.4295,0.0,0.0,0.0,
CYP1B1,1.0,0.0,1.0,2.0,51.354,1.0,0.07225,45.78063,9.15178,0.0,0.0,0.0,
CYB5A,2.0,0.0,1.0,4.0,121.934,19.0,0.08831,65.14841,10.60214,9120.99805,1.24140824E8,0.0,
DPP4,3.0,0.0,1.0,6.0,164.339,13.0,0.06114,64.28765,10.42229,920.0552,9872040.0,0.0,
TLR2,5.0,0.0,1.0,10.0,178.382,14.0,0.06623,76.17107,10.99373,2888.92121,3655024.0,0.0,
LPAR1,5.0,0.61795,3.0,8.0,179.03,2.0,0.07225,76.93975,11.04015,601.12925,224960.0,0.14286,
TNFAIP6,1.0,0.0,1.0,2.0,111.834,1.0,0.06623,61.78654,10.4542,0.0,0.0,0.0,
CXCL8,12.0,0.64826,5.0,14.0,190.189,25.0,0.07225,82.81595,11.2461,4534.23324,3.2122448E7,0.10989,
CXCL2,3.0,0.61557,2.0,6.0,174.336,1.0,0.06623,67.56273,10.69786,117.20794,27488.0,0.13333,
IL1B,12.0,0.64826,5.0,14.0,188.317,14.0,0.07225,81.08023,11.14457,2512.2952,3465056.0,0.10989,
CXCL10,4.0,0.61795,3.0,6.0,173.924,1.0,0.06623,64.30321,10.52672,2.33333,72.0,0.26667,
RAB33B,3.0,0.61557,2.0,6.0,3.015,2.0,0.01156,3.0,0.03468,4.0,16.0,0.13333,
CUX1,1.0,0.0,1.0,2.0,2.416,1.0,0.00578,2.0,0.02697,0.0,0.0,0.0,
ICAM1,2.0,0.0,1.0,4.0,62.665,2.0,0.04967,42.82378,8.68186,546.0,1.0276824E7,0.0,
CSF1,1.0,0.0,1.0,2.0,38.526,1.0,0.04675,36.64434,7.88996,0.0,0.0,0.0,
ME1,3.0,0.0,1.0,6.0,161.392,2.0,0.07225,72.00404,10.82839,550.13333,208232.0,0.0,
CS,1.0,0.0,1.0,2.0,92.178,1.0,0.06623,55.75281,10.0365,0.0,0.0,0.0,
CRK,3.0,0.0,1.0,6.0,152.046,4.0,0.06623,65.12464,10.51512,1621.18846,1324504.0,0.0,
RPS6KA1,1.0,0.0,1.0,2.0,112.124,1.0,0.07225,68.82547,10.81099,0.0,0.0,0.0,
HMOX2,122.0,1.04608,6.0,12.0,190.176,2.0,0.07948,79.42302,11.13007,204.15586,103712.0,0.33333,
FXYD2,120.0,1.29653,5.0,10.0,188.796,1.0,0.07948,78.92302,11.12717,0.0,0.0,0.44444,
EGR1,40338.0,1.02445,12.0,24.0,191.355,1.0,0.07225,85.26356,11.20549,2618.9465,7322680.0,0.25362,
HMOX1,147.0,1.02445,7.0,16.0,191.293,20.0,0.08831,83.94008,11.2722,9898.21521,1.24395104E8,0.23333,
COL5A1,4.0,0.61795,3.0,6.0,87.15,1.0,0.04967,45.74673,8.93712,1.0,8.0,0.26667,
PCOLCE2,2.0,0.61557,2.0,4.0,79.219,1.0,0.04967,45.24673,8.93422,0.0,0.0,0.33333,
PCOLCE,2.0,0.61557,2.0,4.0,80.915,1.0,0.04967,45.24673,8.93422,0.0,0.0,0.33333,
COL1A1,5.0,0.61795,3.0,8.0,102.331,4.0,0.05299,55.16023,9.72322,1627.0,1.1219168E7,0.14286,
GOLM1,1.0,0.0,1.0,2.0,1.583,1.0,0.00578,1.0,0.01734,0.0,0.0,0.0,
CLU,1.0,0.0,1.0,2.0,1.583,1.0,0.00578,1.0,0.01734,0.0,0.0,0.0,
DKK1,1.0,0.0,1.0,2.0,1.578,1.0,0.00578,1.0,0.01734,0.0,0.0,0.0,
CKAP4,1.0,0.0,1.0,2.0,1.578,1.0,0.00578,1.0,0.01734,0.0,0.0,0.0,
OMD,2.0,0.0,1.0,4.0,2.181,3.0,0.00867,2.0,0.03035,2.0,8.0,0.0,
CHST2,1.0,0.0,1.0,2.0,1.921,1.0,0.00434,1.5,0.02601,0.0,0.0,0.0,
CENPU,2.0,0.61557,2.0,4.0,160.537,1.0,0.06114,67.14598,10.4397,0.0,0.0,0.33333,
MIS18BP1,6.0,0.92693,3.0,6.0,179.472,1.0,0.06114,69.75908,10.54992,0.0,0.0,0.4,
CDO1,1.0,0.0,1.0,2.0,24.439,1.0,0.05677,33.68246,7.01685,0.0,0.0,0.0,
MCL1,1.0,0.0,1.0,2.0,114.194,1.0,0.06623,70.29369,10.81099,0.0,0.0,0.0,
TFAP2C,1.0,0.0,1.0,2.0,118.439,1.0,0.06623,70.29369,10.81099,0.0,0.0,0.0,
NTRK2,3.0,0.0,1.0,6.0,104.469,3.0,0.06114,53.19241,9.74062,740.30016,969432.0,0.0,
CDH2,2.0,0.0,1.0,4.0,93.205,1.0,0.05677,51.15564,9.61009,132.88947,84792.0,0.0,
SNAI2,2.0,0.0,1.0,4.0,141.492,3.0,0.06114,63.47217,10.4455,157.3855,453576.0,0.0,
CTNND2,2.0,0.0,1.0,4.0,118.43,2.0,0.06114,59.85789,10.22794,476.58932,300200.0,0.0,
MMP9,5.0,0.61557,2.0,10.0,161.365,4.0,0.06114,68.07455,10.59924,1818.70051,1227016.0,0.04444,
GFRA1,5.0,0.0,1.0,10.0,169.419,24.0,0.07225,77.68499,11.09526,5894.38938,5319632.0,0.0,
KIFC3,2.0,0.0,1.0,4.0,150.7,1.0,0.06114,75.27773,10.88061,2693.08494,863480.0,0.0,
IQGAP2,1.0,0.0,1.0,2.0,111.917,1.0,0.06114,58.80789,10.21054,0.0,0.0,0.0,
FLOT1,1.0,0.0,1.0,2.0,104.39,1.0,0.06114,58.80789,10.21054,0.0,0.0,0.0,
HGS,3.0,0.61557,2.0,6.0,170.702,2.0,0.06114,69.5567,10.69786,2194.49191,485936.0,0.13333,
KITLG,4.0,0.0,1.0,8.0,160.838,2.0,0.05677,70.65365,10.65725,1722.90421,1.1486304E7,0.0,
HLA-DRB1,30.0,0.95098,6.0,16.0,184.2,8.0,0.06114,65.51027,10.35558,2460.02131,6482048.0,0.16667,
HLA-DQA1,26.0,0.85588,6.0,12.0,183.631,2.0,0.06114,64.17693,10.34397,564.88572,2196128.0,0.27273,
HLA-DQB1,12.0,0.94732,4.0,8.0,179.05,1.0,0.05677,55.90365,9.87116,0.4,8.0,0.35714,
CTSH,18.0,0.90757,5.0,10.0,182.914,1.0,0.05677,56.90365,9.88566,3.56667,120.0,0.31111,
HLA-DPB1,14.0,0.77792,5.0,10.0,182.491,1.0,0.06114,63.67693,10.34107,293.62131,1494992.0,0.26667,
CTSC,18.0,0.90757,5.0,10.0,183.692,1.0,0.05677,56.90365,9.88566,3.56667,120.0,0.31111,
CD74,37.0,1.04608,6.0,14.0,184.259,11.0,0.06114,65.61265,10.39329,1935.91631,1323104.0,0.24176,
CD5,1.0,0.0,1.0,2.0,48.634,1.0,0.05677,40.76643,8.59484,0.0,0.0,0.0,
CD3EAP,1.0,0.0,1.0,2.0,114.56,1.0,0.06623,67.06869,10.64855,0.0,0.0,0.0,
MAPK14,46.0,0.55867,10.0,32.0,191.66,41.0,0.07948,96.16825,11.55067,10475.95809,2.5763344E7,0.05645,
FN1,9.0,0.61557,2.0,18.0,174.081,13.0,0.05677,69.285,10.49771,6163.22911,3.3925144E7,0.01307,
CD24,1.0,0.0,1.0,2.0,108.59,1.0,0.05299,53.16023,9.70581,0.0,0.0,0.0,
CD36,5.0,0.61795,3.0,8.0,178.343,2.0,0.07225,71.26356,10.79939,562.17662,192816.0,0.14286,
CD163,1.0,0.0,1.0,2.0,104.795,1.0,0.06623,55.24924,10.00749,0.0,0.0,0.0,
CD151,1.0,0.0,1.0,2.0,112.449,1.0,0.05677,59.52627,10.15253,0.0,0.0,0.0,
CDKN2C,1.0,0.0,1.0,2.0,107.954,1.0,0.06623,71.27345,10.8458,0.0,0.0,0.0,
CDKN2B,2.0,0.61557,2.0,4.0,161.175,1.0,0.06623,74.65797,10.96763,0.0,0.0,0.33333,
LMNA,3.0,0.61557,2.0,6.0,179.88,1.0,0.07225,84.00047,11.21129,116.29413,2274496.0,0.13333,
MAPRE1,3.0,0.61557,2.0,6.0,158.571,2.0,0.06114,75.23487,10.83129,546.0,1759568.0,0.13333,
NUP160,5184.0,1.23706,10.0,20.0,191.66,17.0,0.06114,85.94797,11.10396,1067.01551,3322576.0,0.32632,
STAG2,7.0,0.92693,3.0,8.0,177.632,2.0,0.06114,76.9182,10.8603,546.0,3068936.0,0.21429,
E2F1,242.0,1.22461,8.0,20.0,191.66,9.0,0.06623,91.9794,11.35342,2429.22373,7040976.0,0.22105,
E2F4,81.0,0.87472,8.0,18.0,191.66,5.0,0.06623,91.56273,11.34762,983.38922,3318696.0,0.19608,
SHCBP1,24.0,1.13679,4.0,8.0,187.92,1.0,0.06114,76.32892,10.80809,0.0,0.0,0.42857,
MCM10,6.0,0.92693,3.0,6.0,178.531,1.0,0.06114,79.18249,10.96183,0.0,0.0,0.4,
DKC1,4.0,0.61557,2.0,8.0,112.194,5.0,0.06114,74.03527,10.69786,2168.0,4586648.0,0.07143,
PTP4A1,2.0,0.61557,2.0,4.0,162.378,1.0,0.06623,78.54131,11.02854,0.0,0.0,0.33333,
SAMHD1,40321.0,1.63281,8.0,18.0,191.355,16.0,0.06623,82.79408,11.01694,2748.78163,653456.0,0.36601,
MYBL2,8.0,0.75786,4.0,8.0,185.125,1.0,0.06114,78.63249,10.94152,4.25476,1232.0,0.28571,
CDC6,5193.0,1.19716,10.0,26.0,191.66,8.0,0.06114,88.78725,11.13877,2636.10429,1.7789736E7,0.19077,
NFE2,1.0,0.0,1.0,2.0,112.151,1.0,0.06114,63.64916,10.4658,0.0,0.0,0.0,
SPP1,3.0,0.61557,2.0,6.0,162.994,13.0,0.06114,70.32773,10.76168,3749.22468,1.591648E7,0.13333,
ZWINT,44.0,0.8781,7.0,14.0,190.518,4.0,0.06114,78.6682,10.8719,136.62767,201848.0,0.26374,
DSN1,24.0,1.13679,4.0,8.0,185.639,1.0,0.06114,68.14598,10.4455,0.0,0.0,0.42857,
SPC25,36.0,0.95098,6.0,12.0,190.339,1.0,0.06114,78.6682,10.88061,90.63424,221624.0,0.30303,
CALCRL,1.0,0.0,1.0,2.0,1.968,1.0,0.00434,1.5,0.02601,0.0,0.0,0.0,
IAPP,2.0,0.0,1.0,4.0,2.203,3.0,0.00867,2.0,0.03035,2.0,8.0,0.0,
CALCR,1.0,0.0,1.0,2.0,1.959,1.0,0.00434,1.5,0.02601,0.0,0.0,0.0,
SLC4A4,1.0,0.0,1.0,2.0,65.029,1.0,0.05677,48.16953,9.42444,0.0,0.0,0.0,
CDH1,10.0,0.0,1.0,20.0,176.709,25.0,0.06623,78.38059,11.00244,9505.16691,5750648.0,0.0,
CA2,2.0,0.0,1.0,4.0,108.521,2.0,0.06114,59.47455,10.21634,546.0,256536.0,0.0,
C6,1.0,0.0,1.0,2.0,1.591,1.0,0.00578,1.0,0.01734,0.0,0.0,0.0,
C5,1.0,0.0,1.0,2.0,1.591,1.0,0.00578,1.0,0.01734,0.0,0.0,0.0,
CD72,2.0,0.0,1.0,4.0,82.697,2.0,0.06114,48.46781,9.38673,546.0,532808.0,0.0,
VAV2,2.0,0.61557,2.0,4.0,129.751,1.0,0.06623,58.48139,10.16703,0.0,0.0,0.33333,
YES1,7.0,0.61557,2.0,14.0,175.538,18.0,0.07225,76.05166,10.95022,4621.02581,3165336.0,0.04396,
BLNK,3.0,0.61557,2.0,6.0,131.717,3.0,0.06623,59.14805,10.17283,1088.0,799200.0,0.13333,
H2AFX,12.0,0.92693,3.0,18.0,189.33,16.0,0.07225,93.1969,11.44045,7229.44783,1.137908E7,0.03922,
POLD1,9.0,0.51861,5.0,12.0,190.365,2.0,0.06114,72.76146,10.63985,282.5416,1571560.0,0.12121,
NUP62,10224.0,1.25564,11.0,22.0,191.66,1.0,0.06623,88.99369,11.22869,1352.63328,5008704.0,0.32035,
