node_name,MCC,DMNC,MNC,Degree,EPC,BottleNeck,EcCentricity,Closeness,Radiality,Betweenness,Stress,ClusteringCoefficient
NTRK2,1.0,0.0,1.0,2.0,32.342,1.0,0.09176,22.80992,5.78715,0.0,0.0,0.0,
CDH2,2.0,0.0,1.0,4.0,46.586,2.0,0.10323,28.18571,6.60645,252.0,65304.0,0.0,
CDCA2,1.0,0.0,1.0,2.0,57.39,1.0,0.08258,34.13452,6.87305,0.0,0.0,0.0,
CD34,1.0,0.0,1.0,2.0,35.115,1.0,0.08258,24.05595,5.6636,0.0,0.0,0.0,
FN1,7.0,0.0,1.0,14.0,50.369,13.0,0.09176,31.89325,6.48291,2866.0,5446920.0,0.0,
CD24,1.0,0.0,1.0,2.0,35.674,1.0,0.08258,24.05595,5.6636,0.0,0.0,0.0,
CD36,2.0,0.0,1.0,4.0,50.096,2.0,0.09176,30.99524,6.91857,252.0,82376.0,0.0,
CD163,1.0,0.0,1.0,2.0,34.852,1.0,0.08258,24.62857,6.09926,0.0,0.0,0.0,
CXCL10,2.0,0.0,1.0,4.0,33.223,2.0,0.09176,25.10278,6.13828,252.0,95192.0,0.0,
CCR1,1.0,0.0,1.0,2.0,23.291,1.0,0.08258,20.79524,5.31897,0.0,0.0,0.0,
SHCBP1,24.0,1.13679,4.0,8.0,80.784,1.0,0.08258,37.63452,6.97059,0.0,0.0,0.42857,
MYBL2,6.0,0.92693,3.0,6.0,78.303,1.0,0.08258,36.18452,6.93157,0.0,0.0,0.4,
CDC6,5040.0,1.53668,7.0,14.0,81.59,1.0,0.08258,39.26786,7.0031,0.0,0.0,0.46154,
ZWINT,98.0,1.02445,7.0,14.0,81.545,1.0,0.08258,39.26786,7.0031,9.77181,440.0,0.30769,
SPC25,72.0,1.14118,6.0,12.0,81.373,1.0,0.08258,39.26786,7.0161,3.23621,248.0,0.36364,
H2AFX,4.0,0.61557,2.0,8.0,78.082,3.0,0.08258,38.01786,6.9966,503.75,578824.0,0.07143,
BLM,2.0,0.0,1.0,4.0,72.105,1.0,0.08258,36.51786,6.96408,4.98246,392.0,0.0,
KLHL13,1.0,0.0,1.0,2.0,56.153,1.0,0.09176,37.66905,7.39975,0.0,0.0,0.0,
SGOL1,5040.0,1.53668,7.0,14.0,81.59,1.0,0.09176,43.21905,7.5493,0.0,0.0,0.46154,
TRIB3,1.0,0.0,1.0,2.0,25.912,1.0,0.08258,23.60476,5.97572,0.0,0.0,0.0,
ATF4,2.0,0.0,1.0,4.0,38.14,2.0,0.09176,29.17857,6.79502,252.0,65400.0,0.0,
FOS,10.0,0.61795,3.0,16.0,80.464,128.0,0.11797,52.67857,8.39462,10274.66667,7939296.0,0.06667,
ATF3,2.0,0.0,1.0,4.0,55.297,3.0,0.10323,37.18214,7.60132,500.0,98088.0,0.0,
TTK,9.223372036854777E13,1.92018,28.0,56.0,81.59,5.0,0.09176,54.21905,7.70536,122.26375,192200.0,0.35974,
NUSAP1,9.223372036854777E13,1.96177,28.0,56.0,81.59,3.0,0.09176,54.38571,7.71186,112.73625,287320.0,0.36753,
CKS2,3.99168E7,1.86649,11.0,22.0,81.59,1.0,0.09176,45.38571,7.58181,0.0,0.0,0.47619,
DEPDC1,362880.0,1.71838,9.0,18.0,81.59,1.0,0.08258,40.30119,7.0096,0.0,0.0,0.47059,
PTTG1,9.223372036854777E13,2.1261,24.0,48.0,81.59,2.0,0.09176,52.38571,7.68585,55.82488,191168.0,0.41844,
RRM2,9.223372036854777E13,2.15919,21.0,42.0,81.59,1.0,0.09176,50.71905,7.65984,29.49631,47880.0,0.44367,
SMC4,9.580032E8,1.96706,13.0,26.0,81.59,1.0,0.08258,42.93452,7.06812,0.1,8.0,0.47385,
CASC5,168.0,1.1708,7.0,14.0,81.59,1.0,0.08258,38.80119,6.97709,1.93333,40.0,0.35165,
CDKN3,3.99168E7,1.86649,11.0,22.0,81.59,1.0,0.08258,41.93452,7.05512,0.0,0.0,0.47619,
BIRC5,9.223372036854777E13,2.12644,25.0,56.0,81.59,128.0,0.10323,59.41548,8.21905,7553.66147,6712080.0,0.32987,
KIAA0101,1.307674368E12,2.10312,15.0,30.0,81.59,1.0,0.09176,47.55238,7.61433,0.0,0.0,0.48276,
MELK,9.223372036854777E13,2.22751,23.0,46.0,81.59,1.0,0.09176,51.71905,7.67285,18.86228,47816.0,0.44444,
CCNB2,9.223372036854777E13,1.92018,28.0,56.0,81.59,1.0,0.09176,54.21905,7.70536,148.66495,192664.0,0.35974,
CCNA2,9.223372036854777E13,1.76315,30.0,60.0,81.59,2.0,0.09176,55.21905,7.71836,219.80935,241096.0,0.32316,
NUF2,9.223372036854777E13,1.85949,23.0,46.0,81.59,1.0,0.09176,51.71905,7.67285,158.41887,191448.0,0.37101,
CENPE,9.223372036854777E13,1.7917,23.0,46.0,81.59,1.0,0.09176,51.55238,7.66634,137.67421,191888.0,0.35749,
NDC80,9.223372036854777E13,1.75673,29.0,58.0,81.59,2.0,0.09176,54.71905,7.71186,420.74994,241704.0,0.32547,
CCNB1,9.223372036854777E13,1.7954,28.0,56.0,81.59,2.0,0.09176,54.46905,7.71836,487.24223,529464.0,0.33636,
NCAPG,9.223372036854777E13,1.89938,28.0,56.0,81.59,1.0,0.09176,54.38571,7.71186,163.79055,335120.0,0.35584,
KIF20A,9.223372036854777E13,1.8351,29.0,58.0,81.59,3.0,0.09176,54.88571,7.71836,182.93038,335624.0,0.33999,
ASPM,9.223372036854777E13,1.79583,31.0,62.0,81.59,1.0,0.09176,55.88571,7.73137,210.16252,431224.0,0.32575,
CDK1,9.223372036854777E13,1.57472,34.0,68.0,81.59,6.0,0.09176,57.63571,7.76388,698.65792,816936.0,0.27744,
TOP2A,9.223372036854777E13,1.76668,31.0,66.0,81.59,3.0,0.09176,56.88571,7.74437,737.45139,528664.0,0.28252,
CENPF,9.223372036854777E13,2.02859,26.0,52.0,81.59,1.0,0.09176,53.38571,7.69886,108.98305,287048.0,0.38914,
KIF14,5760.0,1.51618,8.0,16.0,81.59,1.0,0.08258,39.76786,7.0096,0.34848,16.0,0.43333,
KIF4A,9.223372036854777E13,2.21571,21.0,42.0,81.59,1.0,0.09176,50.71905,7.65984,19.36061,47792.0,0.45528,
TPX2,9.223372036854777E13,2.18916,24.0,48.0,81.59,1.0,0.09176,52.38571,7.68585,55.25068,191128.0,0.43085,
PBK,9.223372036854777E13,2.1261,24.0,50.0,81.59,2.0,0.09176,52.88571,7.69235,324.07993,288512.0,0.38531,
HMMR,4.0279681E7,1.84401,12.0,26.0,81.59,2.0,0.08258,42.93452,7.06812,252.5303,1051800.0,0.38769,
KIF11,9.223372036854777E13,1.92711,28.0,56.0,81.59,1.0,0.09176,54.21905,7.70536,102.31421,191808.0,0.36104,
DLGAP5,9.223372036854777E13,1.95484,28.0,56.0,81.59,1.0,0.09176,54.38571,7.71186,131.75135,334944.0,0.36623,
ANLN,3992400.0,1.69766,12.0,24.0,81.59,1.0,0.08258,42.43452,7.06162,3.21032,160.0,0.42029,
SPTBN1,1.0,0.0,1.0,2.0,1.664,1.0,0.0129,1.0,0.03871,0.0,0.0,0.0,
ANK2,1.0,0.0,1.0,2.0,1.664,1.0,0.0129,1.0,0.03871,0.0,0.0,0.0,
ECHDC1,1.0,0.0,1.0,2.0,2.199,1.0,0.00968,1.5,0.05806,0.0,0.0,0.0,
MME,1.0,0.0,1.0,2.0,46.201,1.0,0.09176,25.72659,6.24882,0.0,0.0,0.0,
CXCL12,9.0,0.75786,4.0,10.0,67.23,14.0,0.10323,35.0369,7.14615,2976.0,5582992.0,0.17778,
GNAI1,10.0,0.75786,4.0,12.0,67.786,7.0,0.11797,39.54286,7.68585,1968.0,2080792.0,0.12121,
SLC9A3R1,3.0,0.61557,2.0,6.0,66.829,1.0,0.11797,36.22857,7.5493,992.0,1935344.0,0.13333,
AGT,9.0,0.75786,4.0,10.0,67.367,2.0,0.10323,33.57024,7.06812,264.0,137872.0,0.17778,
F2R,2.0,0.0,1.0,4.0,55.687,1.0,0.10323,29.97262,6.87955,4.0,88.0,0.0,
CXCR4,11.0,0.75786,4.0,14.0,67.885,27.0,0.11797,40.57619,7.73787,3816.0,3363720.0,0.08791,
ADRBK2,2.0,0.0,1.0,4.0,56.206,1.0,0.10323,30.45357,6.93157,12.0,968.0,0.0,
PPARG,7.0,0.61557,2.0,14.0,75.019,8.0,0.10323,41.56548,7.72487,1767.33333,507648.0,0.02198,
ADIPOQ,1.0,0.0,1.0,2.0,49.502,1.0,0.09176,30.32857,6.90556,0.0,0.0,0.0,
MAOA,2.0,0.0,1.0,4.0,23.258,4.0,0.08258,22.86905,5.47503,744.0,937480.0,0.0,
ADH1C,1.0,0.0,1.0,2.0,10.751,1.0,0.06882,17.07035,3.86243,0.0,0.0,0.0,
ADH1B,3.0,0.0,1.0,6.0,15.77,3.0,0.07507,20.37861,4.68174,502.0,750008.0,0.0,
ADH1A,1.0,0.0,1.0,2.0,11.439,1.0,0.06882,17.07035,3.86243,0.0,0.0,0.0,
MYH11,1.0,0.0,1.0,2.0,1.671,1.0,0.0129,1.0,0.03871,0.0,0.0,0.0,
ACTG2,1.0,0.0,1.0,2.0,1.671,1.0,0.0129,1.0,0.03871,0.0,0.0,0.0,
HADH,1.0,0.0,1.0,2.0,1.686,1.0,0.0129,1.0,0.03871,0.0,0.0,0.0,
ACADM,1.0,0.0,1.0,2.0,1.686,1.0,0.0129,1.0,0.03871,0.0,0.0,0.0,
SLC27A2,1.0,0.0,1.0,2.0,1.687,1.0,0.0129,1.0,0.03871,0.0,0.0,0.0,
ACADL,1.0,0.0,1.0,2.0,1.687,1.0,0.0129,1.0,0.03871,0.0,0.0,0.0,
ALDH6A1,2.0,0.0,1.0,4.0,2.391,3.0,0.01935,2.0,0.06774,2.0,8.0,0.0,
ACACB,1.0,0.0,1.0,2.0,2.166,1.0,0.00968,1.5,0.05806,0.0,0.0,0.0,
AGPAT9,2.0,0.61557,2.0,4.0,2.639,1.0,0.01935,2.0,0.03871,0.0,0.0,0.33333,
GPAM,2.0,0.61557,2.0,4.0,2.643,1.0,0.01935,2.0,0.03871,0.0,0.0,0.33333,
ABHD5,2.0,0.61557,2.0,4.0,2.64,1.0,0.01935,2.0,0.03871,0.0,0.0,0.33333,
FOXO1,7.0,0.61795,3.0,12.0,78.87,9.0,0.10323,46.78214,8.01097,1707.33333,415816.0,0.06061,
ABCA6,1.0,0.0,1.0,2.0,53.456,1.0,0.09176,33.18571,7.19167,0.0,0.0,0.0,
